id,name,img,asin,price,mrp,rating,ratingTotal,discount,seller,purl
121,Textured Structured Sling Bag,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22935820/2023/4/28/dccb7af5-17a9-4e6b-b1b4-17bb55bb2cbd1682688547164MetroYellowTexturedShopperSlingBagwithQuilted1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/22935820/2023/4/28/dccb7af5-17a9-4e6b-b1b4-17bb55bb2cbd1682688547164MetroYellowTexturedShopperSlingBagwithQuilted1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/22935820/2023/4/28/dccb7af5-17a9-4e6b-b1b4-17bb55bb2cbd1682688547164MetroYellowTexturedShopperSlingBagwithQuilted1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/22935820/2023/4/28/dccb7af5-17a9-4e6b-b1b4-17bb55bb2cbd1682688547164MetroYellowTexturedShopperSlingBagwithQuilted1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/22935820/2023/4/28/dccb7af5-17a9-4e6b-b1b4-17bb55bb2cbd1682688547164MetroYellowTexturedShopperSlingBagwithQuilted1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/22935820/2023/4/28/dccb7af5-17a9-4e6b-b1b4-17bb55bb2cbd1682688547164MetroYellowTexturedShopperSlingBagwithQuilted1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/22935820/2023/4/28/dccb7af5-17a9-4e6b-b1b4-17bb55bb2cbd1682688547164MetroYellowTexturedShopperSlingBagwithQuilted1.jpg",-,1690,1690,0,0,0,Metro,https://www.myntra.com/handbags/metro/metro-textured-structured-sling-bag-with-quilted/22935820/buy
122,Studs Earrings,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22922592/2023/4/27/9fdbd132-c6be-4626-8491-5596c81d38171682595737959PALMONASGold-TonedContemporaryStudsEarrings1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/22922592/2023/4/27/9fdbd132-c6be-4626-8491-5596c81d38171682595737959PALMONASGold-TonedContemporaryStudsEarrings1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/22922592/2023/4/27/9fdbd132-c6be-4626-8491-5596c81d38171682595737959PALMONASGold-TonedContemporaryStudsEarrings1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/22922592/2023/4/27/9fdbd132-c6be-4626-8491-5596c81d38171682595737959PALMONASGold-TonedContemporaryStudsEarrings1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/22922592/2023/4/27/9fdbd132-c6be-4626-8491-5596c81d38171682595737959PALMONASGold-TonedContemporaryStudsEarrings1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/22922592/2023/4/27/9fdbd132-c6be-4626-8491-5596c81d38171682595737959PALMONASGold-TonedContemporaryStudsEarrings1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/22922592/2023/4/27/9fdbd132-c6be-4626-8491-5596c81d38171682595737959PALMONASGold-TonedContemporaryStudsEarrings1.jpg",-,1416,1770,0,0,20,PALMONAS,https://www.myntra.com/earrings/palmonas/palmonas-gold-plated-cubic-zirconia-contemporary-studs-earrings/22922592/buy
123,Women Silver-Plated Charm Bracelet,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22919724/2023/4/27/7017a571-1404-4269-a7bc-ed2c4c6353141682607174225Bracelet1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/22919724/2023/4/27/7017a571-1404-4269-a7bc-ed2c4c6353141682607174225Bracelet1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/22919724/2023/4/27/7017a571-1404-4269-a7bc-ed2c4c6353141682607174225Bracelet1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/22919724/2023/4/27/7017a571-1404-4269-a7bc-ed2c4c6353141682607174225Bracelet1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/22919724/2023/4/27/7017a571-1404-4269-a7bc-ed2c4c6353141682607174225Bracelet1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/22919724/2023/4/27/7017a571-1404-4269-a7bc-ed2c4c6353141682607174225Bracelet1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/22919724/2023/4/27/7017a571-1404-4269-a7bc-ed2c4c6353141682607174225Bracelet1.jpg",-,899,4495,0,0,80,Peora,https://www.myntra.com/bracelet/peora/peora-women-silver-plated-charm-bracelet/22919724/buy
124,Rose Gold-Plated Finger Ring,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22910300/2023/4/26/3a0141b4-f608-467e-b67f-0d31972beb081682509965876MYKICasualRingForWomenGirls1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/22910300/2023/4/26/3a0141b4-f608-467e-b67f-0d31972beb081682509965876MYKICasualRingForWomenGirls1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/22910300/2023/4/26/3a0141b4-f608-467e-b67f-0d31972beb081682509965876MYKICasualRingForWomenGirls1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/22910300/2023/4/26/3a0141b4-f608-467e-b67f-0d31972beb081682509965876MYKICasualRingForWomenGirls1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/22910300/2023/4/26/3a0141b4-f608-467e-b67f-0d31972beb081682509965876MYKICasualRingForWomenGirls1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/22910300/2023/4/26/3a0141b4-f608-467e-b67f-0d31972beb081682509965876MYKICasualRingForWomenGirls1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/22910300/2023/4/26/3a0141b4-f608-467e-b67f-0d31972beb081682509965876MYKICasualRingForWomenGirls1.jpg",-,349,349,0,0,0,MYKI,https://www.myntra.com/ring/myki/-myki-rose-gold-plated--cz-studded-adjustable-finger-ring/22910300/buy
125,Rose Gold-Plated Mangalsutra,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22905700/2023/4/26/051b181b-b9e9-4260-86b9-b7657281c0381682502411512RoseGold-PlatedBeadedADStuddedMangalsutraEarringsSet1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/22905700/2023/4/26/051b181b-b9e9-4260-86b9-b7657281c0381682502411512RoseGold-PlatedBeadedADStuddedMangalsutraEarringsSet1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/22905700/2023/4/26/051b181b-b9e9-4260-86b9-b7657281c0381682502411512RoseGold-PlatedBeadedADStuddedMangalsutraEarringsSet1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/22905700/2023/4/26/051b181b-b9e9-4260-86b9-b7657281c0381682502411512RoseGold-PlatedBeadedADStuddedMangalsutraEarringsSet1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/22905700/2023/4/26/051b181b-b9e9-4260-86b9-b7657281c0381682502411512RoseGold-PlatedBeadedADStuddedMangalsutraEarringsSet1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/22905700/2023/4/26/051b181b-b9e9-4260-86b9-b7657281c0381682502411512RoseGold-PlatedBeadedADStuddedMangalsutraEarringsSet1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/22905700/2023/4/26/051b181b-b9e9-4260-86b9-b7657281c0381682502411512RoseGold-PlatedBeadedADStuddedMangalsutraEarringsSet1.jpg",-,881,5875,0,0,85,Vita Bella,https://www.myntra.com/mangalsutra/vita-bella/vita-bella-rose-gold-plated-ad-studded--beaded-mangalsutra-with-earrings/22905700/buy
126,Set of 2 Silver-Plated Anklets,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22885602/2023/4/24/d65cf009-2f43-4799-97b3-ce126181bc8a1682345046015RuhiCollectionBridalSilverPlatedIndianTraditionalEthnicFancy1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/22885602/2023/4/24/d65cf009-2f43-4799-97b3-ce126181bc8a1682345046015RuhiCollectionBridalSilverPlatedIndianTraditionalEthnicFancy1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/22885602/2023/4/24/d65cf009-2f43-4799-97b3-ce126181bc8a1682345046015RuhiCollectionBridalSilverPlatedIndianTraditionalEthnicFancy1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/22885602/2023/4/24/d65cf009-2f43-4799-97b3-ce126181bc8a1682345046015RuhiCollectionBridalSilverPlatedIndianTraditionalEthnicFancy1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/22885602/2023/4/24/d65cf009-2f43-4799-97b3-ce126181bc8a1682345046015RuhiCollectionBridalSilverPlatedIndianTraditionalEthnicFancy1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/22885602/2023/4/24/d65cf009-2f43-4799-97b3-ce126181bc8a1682345046015RuhiCollectionBridalSilverPlatedIndianTraditionalEthnicFancy1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/22885602/2023/4/24/d65cf009-2f43-4799-97b3-ce126181bc8a1682345046015RuhiCollectionBridalSilverPlatedIndianTraditionalEthnicFancy1.jpg",-,1999,1999,0,0,0,RUHI COLLECTION,https://www.myntra.com/anklet/ruhi-collection/ruhi-collection-set-of-2-silver-plated-beaded-anklets/22885602/buy
127,Drop Earrings,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22956674/2023/4/29/79a95752-7c34-4d27-948d-4c9b3eb513f81682777408194MYKISilver-TonedContemporaryDropEarrings1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/22956674/2023/4/29/79a95752-7c34-4d27-948d-4c9b3eb513f81682777408194MYKISilver-TonedContemporaryDropEarrings1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/22956674/2023/4/29/79a95752-7c34-4d27-948d-4c9b3eb513f81682777408194MYKISilver-TonedContemporaryDropEarrings1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/22956674/2023/4/29/79a95752-7c34-4d27-948d-4c9b3eb513f81682777408194MYKISilver-TonedContemporaryDropEarrings1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/22956674/2023/4/29/79a95752-7c34-4d27-948d-4c9b3eb513f81682777408194MYKISilver-TonedContemporaryDropEarrings1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/22956674/2023/4/29/79a95752-7c34-4d27-948d-4c9b3eb513f81682777408194MYKISilver-TonedContemporaryDropEarrings1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/22956674/2023/4/29/79a95752-7c34-4d27-948d-4c9b3eb513f81682777408194MYKISilver-TonedContemporaryDropEarrings1.jpg",-,399,399,0,0,0,MYKI,https://www.myntra.com/earrings/myki/myki-silver-toned-contemporary-drop-earrings/22956674/buy
128,Rhodium-Plated Jewellery Set,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22919106/2023/4/27/be9e297e-ecdb-41d9-8edd-f7bbf12fe7c11682590858133Rhodium-PlatedSilverTonedAmericanDiamondstuddedOvalShapedJew1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/22919106/2023/4/27/be9e297e-ecdb-41d9-8edd-f7bbf12fe7c11682590858133Rhodium-PlatedSilverTonedAmericanDiamondstuddedOvalShapedJew1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/22919106/2023/4/27/be9e297e-ecdb-41d9-8edd-f7bbf12fe7c11682590858133Rhodium-PlatedSilverTonedAmericanDiamondstuddedOvalShapedJew1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/22919106/2023/4/27/be9e297e-ecdb-41d9-8edd-f7bbf12fe7c11682590858133Rhodium-PlatedSilverTonedAmericanDiamondstuddedOvalShapedJew1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/22919106/2023/4/27/be9e297e-ecdb-41d9-8edd-f7bbf12fe7c11682590858133Rhodium-PlatedSilverTonedAmericanDiamondstuddedOvalShapedJew1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/22919106/2023/4/27/be9e297e-ecdb-41d9-8edd-f7bbf12fe7c11682590858133Rhodium-PlatedSilverTonedAmericanDiamondstuddedOvalShapedJew1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/22919106/2023/4/27/be9e297e-ecdb-41d9-8edd-f7bbf12fe7c11682590858133Rhodium-PlatedSilverTonedAmericanDiamondstuddedOvalShapedJew1.jpg",-,559,2799,0,0,80,Aazeen,https://www.myntra.com/jewellery-set/aazeen/aazeen-rhodium-plated-ad-stone-studded-oval-shaped-jewellery-set-/22919106/buy
129,Women PU Belt With Chain Drop,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22902594/2023/4/26/5b348a9b-ce8a-472b-ad38-ecee4df38876168249360531620DressesTanSolidWaistBeltWithChainDropForWomen1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/22902594/2023/4/26/5b348a9b-ce8a-472b-ad38-ecee4df38876168249360531620DressesTanSolidWaistBeltWithChainDropForWomen1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/22902594/2023/4/26/5b348a9b-ce8a-472b-ad38-ecee4df38876168249360531620DressesTanSolidWaistBeltWithChainDropForWomen1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/22902594/2023/4/26/5b348a9b-ce8a-472b-ad38-ecee4df38876168249360531620DressesTanSolidWaistBeltWithChainDropForWomen1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/22902594/2023/4/26/5b348a9b-ce8a-472b-ad38-ecee4df38876168249360531620DressesTanSolidWaistBeltWithChainDropForWomen1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/22902594/2023/4/26/5b348a9b-ce8a-472b-ad38-ecee4df38876168249360531620DressesTanSolidWaistBeltWithChainDropForWomen1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/22902594/2023/4/26/5b348a9b-ce8a-472b-ad38-ecee4df38876168249360531620DressesTanSolidWaistBeltWithChainDropForWomen1.jpg",-,1195,1195,0,0,0,20Dresses,https://www.myntra.com/belts/20dresses/20dresses-women-tan-pu-belt-with-chain-drop/22902594/buy
130,Gold-Plated Jewellery Set,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22863338/2023/4/22/593b1ab8-0e50-4c14-bb53-ae871efbae7e1682160442433SukkhiAlluringOxidisedGoddessLaxmiNecklaceSetforWomen1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/22863338/2023/4/22/593b1ab8-0e50-4c14-bb53-ae871efbae7e1682160442433SukkhiAlluringOxidisedGoddessLaxmiNecklaceSetforWomen1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/22863338/2023/4/22/593b1ab8-0e50-4c14-bb53-ae871efbae7e1682160442433SukkhiAlluringOxidisedGoddessLaxmiNecklaceSetforWomen1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/22863338/2023/4/22/593b1ab8-0e50-4c14-bb53-ae871efbae7e1682160442433SukkhiAlluringOxidisedGoddessLaxmiNecklaceSetforWomen1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/22863338/2023/4/22/593b1ab8-0e50-4c14-bb53-ae871efbae7e1682160442433SukkhiAlluringOxidisedGoddessLaxmiNecklaceSetforWomen1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/22863338/2023/4/22/593b1ab8-0e50-4c14-bb53-ae871efbae7e1682160442433SukkhiAlluringOxidisedGoddessLaxmiNecklaceSetforWomen1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/22863338/2023/4/22/593b1ab8-0e50-4c14-bb53-ae871efbae7e1682160442433SukkhiAlluringOxidisedGoddessLaxmiNecklaceSetforWomen1.jpg",-,453,1164,0,0,61,Sukkhi,https://www.myntra.com/jewellery-set/sukkhi/sukkhi-gold-plated-stone-studded--beaded-oxidised-necklace--earrings-set/22863338/buy
131,Silver-Plated Jewellery Set,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22896762/2023/4/25/874d3424-7e1d-473b-9475-b3ae52e15d161682428568615JewellerySet1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/22896762/2023/4/25/874d3424-7e1d-473b-9475-b3ae52e15d161682428568615JewellerySet1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/22896762/2023/4/25/874d3424-7e1d-473b-9475-b3ae52e15d161682428568615JewellerySet1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/22896762/2023/4/25/874d3424-7e1d-473b-9475-b3ae52e15d161682428568615JewellerySet1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/22896762/2023/4/25/874d3424-7e1d-473b-9475-b3ae52e15d161682428568615JewellerySet1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/22896762/2023/4/25/874d3424-7e1d-473b-9475-b3ae52e15d161682428568615JewellerySet1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/22896762/2023/4/25/874d3424-7e1d-473b-9475-b3ae52e15d161682428568615JewellerySet1.jpg",-,388,2159,0,0,82,Anouk,https://www.myntra.com/jewellery-set/anouk/anouk-silver-plated-fabric-detailed-jewellery-set/22896762/buy
132,Rhodium-Plated Drop Earrings,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22945144/2023/4/28/885ba632-56e0-4fde-afd2-22c3844dff951682682462021AazeenSeaGreenCircularStudsEarrings1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/22945144/2023/4/28/885ba632-56e0-4fde-afd2-22c3844dff951682682462021AazeenSeaGreenCircularStudsEarrings1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/22945144/2023/4/28/885ba632-56e0-4fde-afd2-22c3844dff951682682462021AazeenSeaGreenCircularStudsEarrings1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/22945144/2023/4/28/885ba632-56e0-4fde-afd2-22c3844dff951682682462021AazeenSeaGreenCircularStudsEarrings1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/22945144/2023/4/28/885ba632-56e0-4fde-afd2-22c3844dff951682682462021AazeenSeaGreenCircularStudsEarrings1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/22945144/2023/4/28/885ba632-56e0-4fde-afd2-22c3844dff951682682462021AazeenSeaGreenCircularStudsEarrings1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/22945144/2023/4/28/885ba632-56e0-4fde-afd2-22c3844dff951682682462021AazeenSeaGreenCircularStudsEarrings1.jpg",-,591,3699,0,0,84,Aazeen,https://www.myntra.com/earrings/aazeen/aazeen-rhodium-plated-circular-drop-earrings/22945144/buy
133,Rhodium-Plated Bracelet,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22919254/2023/4/27/d66b536d-cb62-4d31-8250-53a736a1b1621682607111206Rhodium-PlatedSilverTonedWhiteAmericanDiamondstuddedHeartSha1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/22919254/2023/4/27/d66b536d-cb62-4d31-8250-53a736a1b1621682607111206Rhodium-PlatedSilverTonedWhiteAmericanDiamondstuddedHeartSha1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/22919254/2023/4/27/d66b536d-cb62-4d31-8250-53a736a1b1621682607111206Rhodium-PlatedSilverTonedWhiteAmericanDiamondstuddedHeartSha1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/22919254/2023/4/27/d66b536d-cb62-4d31-8250-53a736a1b1621682607111206Rhodium-PlatedSilverTonedWhiteAmericanDiamondstuddedHeartSha1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/22919254/2023/4/27/d66b536d-cb62-4d31-8250-53a736a1b1621682607111206Rhodium-PlatedSilverTonedWhiteAmericanDiamondstuddedHeartSha1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/22919254/2023/4/27/d66b536d-cb62-4d31-8250-53a736a1b1621682607111206Rhodium-PlatedSilverTonedWhiteAmericanDiamondstuddedHeartSha1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/22919254/2023/4/27/d66b536d-cb62-4d31-8250-53a736a1b1621682607111206Rhodium-PlatedSilverTonedWhiteAmericanDiamondstuddedHeartSha1.jpg",-,379,1899,0,0,80,Aazeen,https://www.myntra.com/bracelet/aazeen/aazeen-rhodium-plated-american-diamond-wraparound-bracelet/22919254/buy
134,Silver-Plated Ring,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22907202/2023/4/26/56eb4a2d-9e1d-4a66-9450-af344d98f4081682503079537VIENSilverOwlRingCatEyesAnimalCharmVintageRingsforMenWomenRi1.jpg;
https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/22907202/2023/4/26/56eb4a2d-9e1d-4a66-9450-af344d98f4081682503079537VIENSilverOwlRingCatEyesAnimalCharmVintageRingsforMenWomenRi1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/22907202/2023/4/26/56eb4a2d-9e1d-4a66-9450-af344d98f4081682503079537VIENSilverOwlRingCatEyesAnimalCharmVintageRingsforMenWomenRi1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/22907202/2023/4/26/56eb4a2d-9e1d-4a66-9450-af344d98f4081682503079537VIENSilverOwlRingCatEyesAnimalCharmVintageRingsforMenWomenRi1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/22907202/2023/4/26/56eb4a2d-9e1d-4a66-9450-af344d98f4081682503079537VIENSilverOwlRingCatEyesAnimalCharmVintageRingsforMenWomenRi1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/22907202/2023/4/26/56eb4a2d-9e1d-4a66-9450-af344d98f4081682503079537VIENSilverOwlRingCatEyesAnimalCharmVintageRingsforMenWomenRi1.jpg;
https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/22907202/2023/4/26/56eb4a2d-9e1d-4a66-9450-af344d98f4081682503079537VIENSilverOwlRingCatEyesAnimalCharmVintageRingsforMenWomenRi1.jpg",-,299,999,0,0,700,VIEN,https://www.myntra.com/ring/vien/vien-silver-plated-adjustable-owl-ring/22907202/buy
